id,question,correctanswer,answera,answerb,answerc,answerd
100124,ribosomes are sites which following processes?,d,nucleotide synthesis,transcription,lipid synthesis,translation
100125,chlorophyll pigment found within chloroplast cell. if scientists find chlorophyll sample cells they know that cell sample came from (n) __________.,a,plant,animal,human,bacteria
100126,what occurs if body's renal system fails work?,c,gas exchange impaired.,blood oxygenation no longer occurs.,metabolic waste builds up blood.,nutrients are no longer transported organs.
100127,in 17th century galileo proposed hypothesis explain how suction pumps work. galileo's hypothesis was disproved but later it helped torricelli development an instrument measuring atmospheric pressure. how did galileo's hypothesis most likely help with development this new technology?,d,by leading galileo design different technology,by allowing another scientist critique galileo's hypothesis,by providing evidence effects atmospheric pressure,by inspiring another scientist test an alternative hypothesis
100128,how would drought most likely affect plants grassy plain?,a,there would shorter plants.,they would have thicker stems.,there would greater variety.,they would have brighter flowers.
100129,the process by which organisms with favorable variations reproduce at higher rates than those without such variations ,b,disruptive selection.,natural selection.,sexual selection.,directional selection.
100130,which phase change atmosphere forms clouds?,c,evaporation,freezing,condensation,melting
100131,what relationship exists between dog its fleas?,d,commensalism,gradualism,mutualism,parasitism
100132,a volcanic island arc can found at which type plate boundary?,b,divergent oceanic-oceanic,convergent oceanic-oceanic,divergent continental-oceanic,convergent continental-oceanic
100133,the information protein synthesis carried out nucleus ribosome by __________.,c,rrna,trna,mrna,dna
100134,what complementary base adenine dna?,b,cytosine,thymine,guanine,uracil
100135,a meteoroid becomes meteorite when it,a,impacts surface planet.,encounters atmosphere planet.,makes complete orbit around planet.,starts burn up atmosphere planet.
100136,two pure substances combine make new substance. the new substance cannot physically separated has different boiling point than each original substances. this new substance can best classified as,d,an atom., mixture.,an element., compound.
100137,when investigating chemical reaction one would expect products have,c, same properties as reactants have separately., mixture properties reactants.,different properties than reactants have separately., same properties as only one reactants.
100138,which following statements about thermal energy true?,d,as you hold cup hot water your hands cool water.,as you hold glass cold milk cold travels your hand.,as you hold cup cold milk your hand cools milk.,as you hold cup hot water heat moves your hand.
100139,which technology used generate electrical power involves trade-off between economical electricity long-term waste disposal problems?,b,fossil fuel,nuclear reactor,solar collector,wind turbine
100140,sooj learned that whales use vocalization navigate communicate with other whales. some scientists think that noise pollution whale habitats may harm whale populations. what would most likely effect noise pollution on whales?,d,alteration whale genetic material,reversed flow energy through whale habitats,reduced populations food organisms whale habitats,separation whale family groups
100141,which measurement tool used find volume small piece granite?,c,thermometer,metric ruler,graduated cylinder,triple beam balance
100142,a barometer used measure,c,wind speed.,temperature.,atmospheric pressure.,humidity.
100143,in atomic model that includes nucleus positive charge ,c,spread evenly throughout model.,located at multiple sites model.,concentrated center model.,positioned outside center model.
100144,in fruit flies traits yellow body white eyes are always inherited together. which conclusion can drawn from this phenomenon?,c,the traits are controlled by one gene.,both traits are dominant.,the genes traits are adjacent genome.,the species has only one allele each trait.
100145,which these human activities does not contribute extinction species?,c,hunting,habitat destruction,restoration ecology,introduced nonnative species
100146,repeating experiments improves likelihood accurate results because overall results are,d,less likely prove hypothesis correct.,more likely prove hypothesis correct.,less likely correct due fewer errors being made.,more likely correct due fewer errors being made.
100147,which following heart chambers most responsible contractions that generate pressure that forces blood rest body?,c,left atrium,right atrium,left ventricle,right ventricle
100148,which these involves formation new chemical substance?,d,evaporation gasoline,mixing salt pepper,dissolving sugar tea,rusting an iron chain
100149,when blue light shone on yellow banana what color does banana appear ?,d,blue,yellow,green,black
100150,a fold observed layers sedimentary rock most likely resulted from ,b,cooling flowing magma.,converging crustal plates.,deposition river sediments.,solution carbonate minerals.
100151,which best describes benefit having control group scientific experiment?,a,variables that may cause changes are eliminated.,the number subjects needed experimental group small.,changes that may occur control group are easily explained.,the number variables needed each group are easily determined.
100152,trees use narrow tubes transport water upward. which property water allows water rise these narrow tubes?,c,high vapor pressure,high boiling point,cohesion molecules,net charge molecules
100153,which these property ice that allows fish survive ponds when air temperatures are below 0° c?,a,ice floats insulating warmer liquid water below it.,ice sinks leaving large body liquid water which fish can move.,ice slows fish metabolism until warm spring temperatures increase them.,ice allows oxygen enter water when temperatures are below freezing.
100154,the formation himalayan mountains one example land features caused by compressive forces. which action most likely led formation these mountains?,c,seafloor spreading,strike-slip faulting,colliding plates,hot spots
100155,which region milky way contains population that consists mostly old stars?,a, halo, spiral arms, nuclear bulge, open clusters
100156,you are roasting marshmallows with your family you burn your marshmallow. you notice black substance on your marshmallow your dad tells you that it form carbon. one products this reaction __________.,c,marshmallow,oxygen,carbon,energy (fire)
100157,as populations __________ size individual species start exhibit various symptoms including aggression lack caring young decreased fertility increased susceptibility disease.,d,decrease,stay same,shift,increase
100158,students make weather observations outside school building then they record observations. which observation should recorded as fact?,b,the air feels very cold.,the wind blowing at 5 m/s.,it nicer than day before.,it looks like it might warm up later.
100159,which order succession natural communities would most likely occur new york state?,d,grasses -> trees -> bushes,trees -> bushes -> grasses,bushes -> grasses -> trees,grasses -> bushes -> trees
100160,which these composite material?,d, glass window, bronze statue,an aluminum can, fiberglass bumper
100161,many school districts are placing dispensers hand sanitizer classrooms computer labs. which following most likely purpose this practice?,d,conserve water resources,control noninfectious diseases,promote safe use technology,limit diseases spread by contact
100162,prior 1952 experiments by hershey chase many scientists remained unconvinced about exact location genetic material living things. this was mainly because chromosomes are composed both dna __________.,b,rna,protein,mitochondrial dna,chromatids
100163,improvements farming technology would most likely,a,increase amount food produced.,change global climate conditions.,promote unhealthy dietary choices.,decrease amount daily exercise.
100164,when northern hemisphere tilted toward sun what season occurring australia?,b,fall,winter,spring,summer
100165,stars generate large amounts energy when nuclei with small mass undergo fusion form nuclei with larger mass. which four basic forces universe responsible energy released during fusion?,b,weak force,strong force,gravitational force,electromagnetic force
100166,what best describes objects orbiting kuiper belt?,d,metallic,rocky,hot,icy
100167,an air mass valley travels up mountainside. what causes movement this air?,c,tidal pull moon's gravity,evaporation water from soil valley,warming by solar energy re-radiated from ground,cooling effect ice crystals air over mountain
100168,what characteristic viruses distinguishes them from cells?,c,they do not have hereditary material.,they are not separated from environments.,they lack an independent metabolism.,their traits do not evolve response selection pressures.
100169,which following would make best insulator against flow electricity?,c,copper wire,steel tubing,plastic tape,aluminum foil
100170,birds that do not receive adequate nutrition during development sing less often shorter periods time as adult birds. which best describes outcome nutritional stress these songbirds?,d,they are less likely ward off predators.,they are less likely obtain good nesting sites.,they are less likely find adequate food supplies.,they are less likely attract mates pass on genes.
100171,where smallest negatively-charged particle found an atom?,c,nucleus,orbits nucleus,orbits around nucleus,between proton neutron
100172,greenhouse gases atmosphere trap heat near earth's surface. which these greenhouse gas?,c,nitrogen,argon,water vapor,oxygen
100173,during photosynthesis plants absorb light energy from sun convert it into chemical energy form glucose. which compounds combine presence sunlight form glucose?,c,carbon dioxide (co2) hydrogen (h2),oxygen (o2) carbon dioxide (co2),carbon dioxide (co2) water (h2o),oxygen (o2) water (h2o)
100174,garrett collected some large rocks from stream near his home. he measured rocks on balance. when he records mass rocks which units should garrett use?,b,pounds,kilograms,fluid ounces,cubic centimeters
100175,the continuous changing earth's surface evidence that supports nebular hypothesis. earth's surface continues change because its __________.,a,layered structure,atmospheric gases,vast oceans,continental displacement
100176,simple machines used reduce amount effort needed do work are known as levers. in lever systems amount input work system always,b,twice amount output work.,greater than amount output work.,less than amount output work.,equal amount output work.
100177,the human stomach helps break down food digestion. which statement best describes stomach?,d,it part cell with specific function.,it single cell that performs life function.,it made up small number cells that perform single function.,it composed millions cells several types working together perform function.
100178,which following helped lead invention personal computers?,d,internet,keyboard,wireless transmitter,integrated circuit
100179,a student used two long wires connect lightbulb battery. the student noticed that as soon as circuit was complete nearby compass started point direction other than north. the compass pointed different direction because it was reacting ,d,heat produced by lightbulb.,light produced by lightbulb.,electric field produced by battery.,magnetic field produced by electric current.
100180,a drug company ready start clinical trials new antibiotic. which group investigators would represent most unbiased group?,a,scientists from an independent research lab,scientists who stand gain financially from new drug,scientists who work pharmaceutical company that will produce drug,scientists from parent company from which drug company receives funds
100181,a device that converts light energy into electricity used many handheld calculators ,d,battery.,photocell.,photo generator.,photovoltaic cell.
100182,a geologist conducts an investigation determine absolute age fossil. she then repeats procedure three times. which best explains why she repeated procedure several times?,b,it helps her develop better procedures.,it improves accuracy results.,she wants all results different.,she has more than one hypothesis prove.
100183,materials must pass through cell's semi-permeable membrane order energy utilized. this process called,a,diffusion.,oxidation.,respiration.,reproduction.
100184,which statement describes how muscles work allow person extend an arm from curled position by straightening elbow?,c,both biceps triceps contract.,both biceps triceps relax.,the triceps contract biceps relax.,the biceps contract triceps relax.
100185,many landforms found on earth were produced by tectonic activity. the same conditions that cause tectonic activity on earth should have similar effect on other rocky planets. which observation other planets supports this theory about tectonic activity on earth?,c,these other planets have rates tectonic activity that are equal rates on earth.,the farther planets are from sun less heat they receive drive tectonic processes.,the tectonic activity on smaller planets stopped long ago because smaller bodies lose heat more quickly.,the planets with rapid rates rotation have more tectonic activity due rotational stresses that affect hard crust.
100186,which following changes can alter form substance but does not necessarily change it another substance?,d,physical,temperature,pressure,all above
100187,prior 1700 process fossil formation was unknown. robert hooke observed fossils under microscope saw that characteristics fossilized plant were similar living plant. from this observation he concluded that some plants had been fossilized by mineral-rich water being deposited cells plant. this information would best support which conclusion?,b,robert hooke's discovery delayed advancements science.,new evidence about fossils can change existing theories.,prior 1700 fossils were much more common.,plants are more likely form fossils.
100188,which following helps keep moon its orbit?,b,friction,gravity,longitude,latitude
